review,stemmed_review,Transaction Efficiency,User Experience,Account Access and Registration,Balance and Charges
"Ngebug su gua mau beli kouta di Telkomsel setelah gua pilih pembayaran ovo malah nge bug padahal pun sudah benar dan saldo mencukupi malah batal transaksi nya asw, mohon di fix secepatnya gua mau beli kouta bejir.",ngebug su beli kouta telkomsel pilih bayar nge bug benar saldo cukup batal transaksi anjing mohon fix cepat beli kouta bejir,2,2,0,0
Sangat buruk saya sangat kecewa pengiriman saya ada gangguan di tanggal 21 dan sukses di 22 tapi uang sampai saat ini blm masuk bahkan saya minta refund pihak ovo tidak merespon nya.. sampai saya harus kehilangan kerja sama dan sampai hari ini ung tidak kunjung masuk . Ini pihak ovo atau kariawan yg tidak becus kerja sehingga lambat... 2jt itu bagi saya sangat lah besar,buruk kecewa kirim ganggu tanggal sukses uang masuk bahkan minta refund pihak jawab hilang kerja hari ung kunjung masuk pihak karyawan becus kerja lambat juta besar,2,2,0,0
Sangat simple metode nya,simple metode,0,1,0,0
Lebih di tingkat pelayanana dalam bertransaksi,lebih tingkat pelayanana transaksi,2,0,0,0
"Kecewa sama ovo karena di aplikasi ada pinjaman, tetapi pinjaman yang tertera tidak recommended untuk digunakan karena menggunakan pihak ketiga yakni adapundi dengan rating yang jelek",kecewa aplikasi pinjam pinjam tera recommended guna guna pihak tiga adapundi rating jelek,0,2,0,0
Untuk transaksi pembelian berhasil saldo kepotong tp pulsa tidak masuk/ gagal. Udah komplain tdk di respon ...mohon ditingkat kan lagi aplikasi nya,transaksi beli hasil saldo potong pulsa masuk gagal komplain respon mohon tingkat aplikasi,2,2,0,0
Bayar qris dalam proses sampe 2hari Itu pun tidak berhasil Saldo cuma dibaliki setengah nya Bener bener gak jelas,bayar qris proses hari hasil saldo balik tengah benar benar jelas,2,2,0,2
Masa pas baru bikin ga bisa ngasih nama cuma bisa 1 huruf doang,baru bikin beri nama huruf doang,0,0,2,0
Sangaat berguna,sangaat guna,0,1,0,0
"Lemot banget mau masuk aja susah, dikasih kode verifikasi masuk malah dibilang link kedaluarsa",lot masuk susah kasih kode verifikasi masuk bilang link kedaluarsa,0,2,2,0
Ovo gak jelas saldo kepotong lebih dari transaksi,jelas saldo potong lebih transaksi,0,2,0,2
Ovo memang ok,oke,0,1,0,0
Ovo dr semalam transaksi gagal melulu,malam transaksi gagal melulu,2,0,0,0
Ovo lagi gangguan ya parahhh ga bisa transaksi🤦,ganggu parahhh transaksi,2,2,0,0
"Sangat susah memutuskan akun terhubung jadi susah, kurang fleksibel",susah putus akun hubung susah kurang fleksibel,0,2,2,0
"Potongannya terlalu mahal.. 1500 top up 50k menerima 48,5k",potong terlalu mahal topup k terima k,0,0,0,2
Ovo mantepp,mantap,0,1,0,0
"Cepat, mudah",cepat mudah,0,1,0,0
Aplikasi sangat jelek saya selalu mengalami gangguan saat transaksi aplikasi ini sangat tidak baik,aplikasi jelek selalu alami ganggu transaksi aplikasi baik,2,2,0,0
"Saya kasih bintang 1, karna saya transfer ke bank BCA sampe sekarang keteranganya proses terus. Di suruh nunggu 3 hari kerja. Apa2n ini ovo aneh.",kasih bintang transfer bank baca sekarang keteranganya proses suruh tunggu hari kerja apa aneh,2,2,0,0
Mantap... Sukses selalu ovo,mantap sukses selalu,0,1,0,0
Bagaimana mau di gunakan aplikasinya kalau gak bisa masuk,guna aplikasi masuk,0,0,2,0
ovo knp gangguan mellu si,ganggu mellu,0,2,0,0
Proses tf antar bank gagal Sudah lewat 2 hari belum refund Harus kasih bintang satu kah?? Melalui pusat bantuan no respon Melalui cs 150696 tidak bisa Email no respon juga Cs ovo makan gaji buta apa,proses transfer antar bank gagal lewat hari refund kasih bintang satu lalu pusat bantu no respon lalu rekan email no respon rekan makan gaji buta,2,2,0,0
Sangaaaat membantu,sangaaaat bantu,0,1,0,0
makasih udah memberi kenyamanan buat saya tolong tingkatkan pengamanan yang lebih kuat lagi biar saldo kami aman gak kayak di akun dana saldo sering kebobolan dan hilang sendiri,terima kasih beri nyaman buat tingkat aman lebih kuat biar saldo aman akun dana saldo sering bobol hilang sendiri,0,1,0,1
KEMBALIKAN UANG SAYA!!!!!! saya transfer blm masuk masuk bagaimana urusan nya tolong dong pihak ovo bagaimana ini gaada cs servic jadi ribet gini TOLONG KEMBALIKAN UANG SAYA!!!,kembali uang transfer masuk masuk urus pihak rekan servic ribet begini kembali uang,2,2,0,2
potongan terlalu banyak,potong terlalu banyak,0,0,0,2
Oke lah,oke,0,1,0,0
"Pihak OVO kurang Menanggapi permasalahan akun OVO diretas sama orang lain, sangat kecewa sekali pelayanannya, minta diblokir malah banyak yang harus dijelaskan. Sangat kecewa sekali...",pihak kurang tanggap masalah akun retas orang kecewa sekali layan minta blokir banyak jelas kecewa sekali,0,2,2,0
"Baru di top up malah ga bisa di buka, gmn sih lama2 ga jelas gni?? Padahal pakai keamanan, 💩",baru topup buka lama jelas begini pakai aman,0,2,0,2
"Tolong difix lagi itu sistem top up nya, saya sudah top up 50rb dari aplikasi ini ke e-tol, tetapi saldo 50rb say a tidak masuk sama sekali di e-tol nya",difix sistem topup topup ribu aplikasi etol saldo ribu sayang a masuk sekali etol,0,2,0,2
Kenapa akun ovo saya tidak bisa bikin nama,akun bikin nama,0,0,2,0
"tf udah 2 kali ga nyampe terus uang nyh saldo kepotong suruh nunggu 2 hari ini udah mau 3 hari boss gmana tanggapan nyah,, ga jelas banget ni apk,,,",transfer uang nyh saldo potong suruh tunggu hari hari bos tanggap jelas,2,2,0,2
Bagus sekali,bagus sekali,0,1,0,0
Aplikasi ANJINGGG,aplikasi anjinggg,0,2,0,0
Tolong dong klo mu kirim ke sesama agar di sediain Via QR aja.. ngetik no rentan salah.. kan enak kalau mu kirim ke sesama tingal tunjukin qr aja..kaya aplikasi sebelah..,mu kirim sama sedia via qr etik no rentan salah enak mu kirim sama tinggal tunjuk qr ajakaya aplikasi belah,2,2,0,0
Jadi lebih mudah untuk transaksi dan efisien dan efektif.semoga kedepannya terus berinovasi untuk memberikan yang terbaik bagi pelanggan terimakasih.,lebih mudah transaksi efisien efektifsemoga depan inovasi beri baik langgan terima kasih,1,1,0,0
Kenapa gak ada fitur transfer ke wallet laen?,fitur transfer wallet,2,0,0,0
"Kenapa dari kemarin belum sukses sukses saya ngirim uang,masak di situ,bacaan sedang di proses"" gak juga suksek2,emang uang gak seberapa tapi buat lah kenyamanan bersama",kemarin sukses sukses kirim uangmasak situbacaan sedang proses suksekemang uang berapa buat nyaman sama,2,2,0,0
Aplikasi bodoh gak bisa login pusat bantuannya pdahl jringan bgs,aplikasi bodoh login pusat bantu pdahl jringan bagus,0,2,2,0
Terbaik tapi banyak sekali potongannya,baik banyak sekali potong,0,1,0,2
Saran pakai gopay atau dana saja lebih josss,saran pakai gopay dana lebih josss,0,2,0,0
Sangat muda sekali pake OVO,muda sekali pakai,0,1,0,0
Bagus ovo,bagus,0,1,0,0
Top up ko ga masuk2...di chat lewat email ga ada tanggapan...,topup masukdi chat lewat email tanggap,0,2,0,2
Gajelas nih ovo masa jaringan bagus tapi tidak mau masuk,jelas jaring bagus masuk,0,2,0,0
Transfer ke bank sering nyangkut uang nya tidak terkirim saldonya hilang.. ovo makin parah pelayanannya dan penanganannya sangat sangat mengecewakan...!!!,transfer bank sering sangkut uang kirim saldo hilang makin parah layan tangan kecewa,2,2,0,2
"Aplikasi yang menguras uang yang ada, setiap terima transfer dari bank selalu memotong uang yang ada di OVO, bukan dikenakan oleh orang yang mentransfer, kalo 100 orang yang mentransfer udah 120.000,- uang yang dikuras OVO.",aplikasi uras uang terima transfer bank selalu potong uang bukan kena orang transfer orang transfer uang kuras,0,2,0,2
Uang saya hilang 165rb gantikan uang saya,uang hilang ribu ganti uang,0,0,0,2
"Ini bagai mana admin,,uang saya ketahan berhari² tidak bisa TF,,saya bingung kerja pake apa... Mau makan susah... Bila ada gangguan tolong dong di infokan,,jangan semaunya sendiri..ini uang buat kehidupan sehari-hari bukan buat judi.MOHON PENGERTIANNYA.!!",bagai adminuang tahan hari tfsaya bingung kerja pakai makan susah bila ganggu infokanjangan mau sendiriini uang buat hidup seharihari bukan buat judimohon erti,2,2,0,0
"Gausah ada yg pake ini apk LG, ga jelas pelayanannya, orang ada Msalah ga bsa ngurus, pembayaran di proses trus TPI saldo kepotong, kacau mending pake dana/gopay ajah",usah pakai jelas layan orang masalah urus bayar proses saldo potong kacau mending pakai danagopay,2,2,0,2
Tolong perbaiki aplikasi anda saya sudah mencoba dengan berbagai cara tetap saja tidak bisa transaksi dengan alasan menemukan transaksi mencurigakan tolong perbaiki karna ini merugikan buat saya melakukan kesalahan sebelah mana sudah saya cek semua aman tapi tetap trus begitu.,baik aplikasi coba bagai cara tetap transaksi alas temu transaksi curiga baik rugi buat laku salah belah cek semua aman tetap,2,2,0,0
"Saya tf dri ovo ke bank, status berhasil namun saldo tidak masuk",transfer bank status hasil saldo masuk,2,0,0,0
Is the best,is the best,0,1,0,0
Cukup sekali ini aja cvk. Tulisannya bisa dapat cashback point nyatanya kagak dapat. Udah setiap ngisi di potong 1.5 k terus ditambah kayak gini. Pinter amat Lo,cukup sekali cvk tulis cashback point nyata isi potong k tambah begini pintar,0,2,0,2
Ovo emang aplikasi e_whalet terbaik dan termudah untuk cara login nya aja.. Tapi gak di untuk transaksinya.. Yg perlu di perbaiki adalah proses transfernya kadang² sering ada pendingnya🙏🏼🙏🏼,aplikasi e whalet baik mudah cara login transaksi perlu baik proses transfer kadang sering pending,2,0,2,0
COBA SIH UNTUK PIHAK OVO KASIH GRATIS TRANSFER 10X AJA PERBULAN GAK USAH BANYAK BANYAK BIAR MAKIN RAMAI YANG MAKE MASA CUMAN NIH APALIKASI YANG PELIT BANGET SAMA ADMIN TRANSFER SEMOGA DI RESPON NANTI DI TAMBAH BINTANG.,coba pihak kasih gratis transfer bulan usah banyak banyak biar makin ramai make apalikasi pelit admin transfer moga respon tambah bintang,2,2,0,0
"saya transfer ke rekening bank lain susah nya minta ampun ga masuk masuk, ga jelas ini aplikasi",transfer rekening bank susah minta ampun masuk masuk jelas aplikasi,2,2,0,0
Pengguna lama dibuat kecewa. Tutup aja aplikasinya kalau tidak bisa untuk transaksi,guna lama buat kecewa tutup aplikasi transaksi,2,2,0,0
Bagus.. cuma semua ada biayanya dr terima transfer sampe mau transfer,bagus semua biaya terima transfer transfer,0,1,0,2
Aneh sampai sekarang tranfer saya tidak d.proses..20 jam saya tunggu..masih sama..maaf kasih bintang 1...pantesan rating cuma sampe 4..bnyak yg ngeluh rupanya...,aneh sekarang tranfer dproses jam tunggumasih samamaaf kasih bintang pantas rating banyak keluh rupa,2,2,0,0
Biaya potongan admin mahal,biaya potong admin mahal,0,0,0,2
"Gimana ini kok tidak ada pertanggung jawaban dari pihak ovo,uang saya sudah seminggu lebih hilang tidak dikembalikan",tanggung jawab pihak ovouang minggu lebih hilang kembali,0,2,0,2
Transaksi cepat,transaksi cepat,1,0,0,0
"Transfer ke bank, dari semalam belum masuk",transfer bank malam masuk,2,0,0,0
Sangat memuas kan,muas,0,1,0,0
Ok ok ok ok ok ok ok 7xok,oke oke oke oke oke oke oke xok,0,1,0,0
"apk tipu2,saya beli paket data gak masuk2,malah uang saya yg ke potong,gak seperti apk gopay sama dana cara penguna nya simpel gak terlalu ribet seperti ovo.",tipusaya beli paket data masukmalah uang potonggak gopay dana cara penguna simpel terlalu ribet,2,2,0,2
"Salah satu apk yg mahal, mw top up ada biaya admin, tf ke bank ada biaya admin, top up dompet driver juga kena biaya admin... Gak seperti apk biru yg ada free nya...",salah satu mahal mw topup biaya admin transfer bank biaya admin topup dompet driver biaya admin biru free,0,2,0,2
Aplikasi nya ok,aplikasi oke,0,1,0,0
top up saldo e money tgl 28/09 tidak masuk padahal saldo ovo sudah terpotong,topup saldo e uang tanggal masuk saldo potong,0,0,0,2
"Sudah yang kedua kalinya , transaki transfer terpending,harusnya kalau misal lagi maintenance atau gannguan ada pemberitahuan, pengguna bayar admin lhoz,gak gratis jangan di bikin kecewa",dua kali transaki transfer terpendingharusnya misal maintenance gannguan pemberitahuan guna bayar admin lhozgak gratis jangan bikin kecewa,2,2,0,0
"Saya pernah beli kuota pembayan lewat ovo, saldo berkurang kuota gak masuk sedangkan transaksi berhasil,",pernah beli kuota pembayan lewat saldo kurang kuota masuk transaksi hasil,2,0,0,2
"kenapa gk bisa melakukan transfer ke no rekening,mengecewakan",laku transfer no rekeningmengecewakan,2,2,0,0
Sangat membantu,bantu,0,1,0,0
Daftar ovo U card selalu di tolak,daftar card selalu tolak,0,0,2,0
Mantap 😊 Allah 🤲🏻 OVO 🥰,mantap allah,0,1,0,0
Gak jelas Saldo udah ke ambil tapi paket yang di inginkan gak bisa di pakai,jelas saldo ambil paket ingin pakai,0,2,0,2
"kenapa ovo yang sekarang sulit untuk dibuka aplikasinya, selalu tidak tersedia",sekarang sulit buka aplikasi selalu sedia,0,2,0,0
OVO selalu terbaik,selalu baik,0,1,0,0
"Tolong deh OVO, beli pulsa aja saldo udah kepotong tapi kepending? Tolong diperbaiki lagi sistemnya, trus cara komplennya juga ribet banget, nyesel banget pake ovo, mending aplikasi biru kemana mana",deh beli pulsa saldo potong pending baik sistem cara komplennya ribet sesal pakai mending aplikasi biru,2,2,0,2
"Error uang nyangkut , mau hubungi siapa bingung kirim laporan gak ada tanggapan",error uang sangkut hubung siapa bingung kirim lapor tanggap,0,2,0,2
Apk ga jelas kebanyakan ngepram TF ketahan buat masuk aja susah,jelas banyak ngepram transfer tahan buat masuk susah,2,2,0,0
Tampilan doang plg bagus dr pd dana Tp kalau mslh trnfr dan top up jauh ama dana Top up udah kena admin eh msh kna pot0ngan juga 😁😁 Semoga cpt kaya deh,tampil doang pulang bagus dana masalah trnfr topup jauh dana topup admin eh potngan moga cepat deh,2,2,0,2
Kenapa tidak BISA transfer dari OVO ke DANA dan PALIKASI OVO INI SANGAT MENGECEWAKAN DAN SEMUANYA BOHONG DI OVO INI,transfer dana palikasi kecewa semua bohong,2,2,0,0
"Aplikasi yang paling repot mau upgrade ke premium saja sampai jungkir balik minta ini minta itu, coba ganti kartu lain juga ga bisa Upgrade paling paling mengecewakan ini aplikasinya👅",aplikasi repot tingkat premium jungkir balik minta minta coba ganti kartu tingkat kecewa aplikasi,0,2,2,0
"Top up 2 x ga masuk, dari banking gak masuk, di buat laporan udah 4 hari juga ga masuk. Di top up dari alfamart gak masuk, entah hilang gitu aja lah lagi dana ku. Emang aplikasi taik!",topup masuk banking masuk buat lapor hari masuk topup alfamart masuk entah hilang dana ku aplikasi tai,0,2,0,2
"Tolong tambah menu transfer ke e-wallet seperti dana, gopay, dll, bank transfer nya kurang lengkap mohon di tambah lagi, seperti BSI dll",tambah menu transfer ewallet dana gopay bank transfer kurang lengkap mohon tambah bsi,2,2,0,0
"Susah banget buka aplikasi, loading terus. Masuk verifikasi loading terus",susah buka aplikasi loading masuk verifikasi loading,0,2,2,0
Pokonya Mantap dech...!!! Ilove you Ovo 👍👍👍👍👍,pokok mantap deh ilove,0,1,0,0
"Susah upgrade friemer, paran bnget",susah tingkat friemer paran,0,2,2,0
"Gimana si ovo, masa saya mau tf uang ke BCA harus nunggu 2 hari. Dan uang saya ngegantung, saya chat pusat bantuan ga direspon. Payahhh duit mau dipake juga",transfer uang baca tunggu hari uang ngegantung chat pusat bantu direspon payahhh duit pakai,2,2,0,2
"2x aku mengalami transfer yang di pending/selalu dalam proses,jelas dari pihak ovo yang tidak beres tapi saat diminta pengembalian saldo dibikin ribet,ini aplikasi tidak terlalu rekomen,masih mending pakai Dana",alami transfer pendingselalu prosesjelas pihak beres minta kembali saldo buat ribetini aplikasi terlalu rekomenmasih mending pakai dana,2,2,0,2
Payah ga berani ngsih paylater buat beli pulsa aj paling brp duit yg pntng ada ms takut bangkrut kalo gopay aj berani... Aplikasi ga mutu bikin kecewa aj ga bs bantu,payah berani ngsih paylater buat beli pulsa berapa duit penting ms takut bangkrut gopay berani aplikasi mutu bikin kecewa bantu,2,2,0,0
"Tolong bantuannya, kenapa pas saya update ke premier gak bisa²? Udah dari tanggal berapa saya update tapi gak bisa²",bantu baru premier tanggal berapa baru,0,2,2,0
Kenapa tidak bisa transfer uang,transfer uang,2,0,0,0
Sy kecewa dngn ovo diam2 menambah kan aplikasi PINJOL,kecewa diam tambah aplikasi pinjol,0,2,0,0
Makin lama makin gak jelas... Untuk login masukan nomor lalu email aktif selalu gagal tidak ada cara lain. Auto uninstal,makin lama makin jelas login masuk nomor lalu email aktif selalu gagal cara auto uninstal,0,2,2,0
Dpt limit paylater tapi di metode pembayaran gaada pilihan paylater gjls bgt,limit paylater metode bayar pilih paylater gjls,2,2,0,0
"Tolong dong, kalo Tranfer ke bank jangan nunggu waktu paling lambat 2 hari, ovo emang pelayanannya lambat atau gimana si??",tranfer bank jangan tunggu waktu lambat hari layan lambat,2,2,0,0
Tuul maantuuul,tuul maantuuul,0,1,0,0
i like that,i like that,0,1,0,0
"Apk busuk saat urgent suka keluar sndiri, tobat pake ni apk",busuk urgent suka keluar sendiri tobat pakai,0,2,0,0
Tiba2 ovo ku ke blokir aneh dah,tiba ku blokir aneh,0,2,2,0
Klo d butuh kn suka lemot dan eror tolong perbaiki,butuh suka lot eror baik,0,2,0,0
mohon diperbaharui lagi.soalnya sering ga masuk notifikasi pembayarannya,mohon baharu lagisoalnya sering masuk notifikasi bayar,0,2,0,0
Kenapa saya ingin merubah nomer rekening selalu gagal terus. Kata nomer SDH terdaftar to mau login gagal aja,ubah nomer rekening selalu gagal kata nomer daftar to login gagal,0,2,2,0
"Uang syaa 200k hilang tanpa sebab, mau buat laporan juga dipersulit.",uang k hilang buat lapor sulit,0,2,0,2
Kurang baik. Lelet.,kurang baik lelet,0,2,0,0
"Aplikasi tipu"" njirr masa tf ampe berhari"",, ko bisa masih bisa d akses ni aplikasi padahal udah banyak yg ketipu sama ini aplikasi",aplikasi tipu anjir transfer hari akses aplikasi banyak tipu aplikasi,2,2,0,0
"Aplikasi nya aneh gak bisa login, saldo tiba tiba hilang. Nanti saldo sdh kosong Baru bisa login. Aplikasi tukang penipu",aplikasi aneh login saldo tiba tiba hilang saldo kosong baru login aplikasi tukang tipu,0,2,2,2
"Parah ini aplikasi..2 kali transaksi pake qris sama pw transfer antar bank,uang ga nyampe ke rek tujuan tapi saldo ke debet ,udah komplain tapi ga ada kejelasan,merugikan.balikim woy duit saya",parah aplikasi transaksi pakai qris pw transfer antar bankuang rek tuju saldo debet komplain kejelasanmerugikanbalikim oi duit,2,2,0,2
"Makin gajee, gagal TF tapi dana tidak di kembalikan.",makin gajee gagal transfer dana kembali,2,2,0,2
"Sering gangguan, terus kalo top up kepotong dananya 😣😞",sering ganggu topup potong dana,0,2,0,2
"Wow kalo kaga bisa jangan maksa , Mana saldo di gantung pula ,, Bukan masalah nominal nya seberapa tapi sedang di butuh kan .. Bikin emossiii aja .. Kaga bakal saya pake lagi ini aplikasi butut",wah jangan paksa saldo gantung bukan masalah nominal berapa sedang butuh bikin emossiii bakal pakai aplikasi butut,0,2,0,2
"Proses tf sangat lama, bahkan sampai 2 hari",proses transfer lama bahkan hari,2,0,0,0
kenapa aplikasi ovo ini. sudah gua tf gak masuk sama rekening kita mohon di ganti uang aku 200.000 lagi ovo😭😭,aplikasi transfer masuk rekening mohon ganti uang,2,2,0,2
Apa lah ovo masa transfer ke rekening bank 2kali ga bisa 3kali uangnya lesedot bajiangn,transfer rekening bank uang lesedot bajiangn,2,2,0,2
"Dana sudah terpotong. Tapi saldo tidak masuk ke rekening tujuan, mohon pihak ovo untuk membatu kendala saya",dana potong saldo masuk rekening tuju mohon pihak batu kendala,0,2,0,2
Ok lah,oke,0,1,0,0
"Aplikasi saraf,,gagal produk dan bikin ribet.",aplikasi sarafgagal produk bikin ribet,0,2,0,0
Parah si posisi urgent untuk kirim uang malah proses terus,parah posisi urgent kirim uang proses,2,2,0,0
Pelayanan bagus,layan bagus,0,1,0,0
Loading terlalu lama,loading terlalu lama,0,2,0,0
"Mau tarik tunai, transfer, tidak bisa harus upgrade, kendala KTP blur sedikit tidak bisa, seharian saya coba tetep tidak bisa, kecewa, tolong dipermudah min terimakasih",tarik tunai transfer tingkat kendala kartu tanda duduk blur sedikit hari coba tetap kecewa mudah min terima kasih,2,2,2,2
sangatt lemot ketika masuk padahal jaringan aman sajaa.,sangatt lot masuk jaring aman sajaa,0,2,0,0
Aplikasi BANGSAT,aplikasi bangsat,0,2,0,0
Kok sulit ya d buat untuk tf,sulit buat transfer,2,0,0,0
Mudah dan praktis ye,mudah praktis iya,0,1,0,0
Gk habis pikir ovo masuk aja harus pake KTP segala please lah ini buat yg belum punya izin KTP bingung mau install nya gimana kalau apa-apa semuanya harus pake KTP,habis pikir masuk pakai kartu tanda duduk segala please buat punya izin kartu tanda duduk bingung install apaapa semua pakai kartu tanda duduk,0,2,2,0
"Gak ad otak ini aplikasi nya terlalu ribet gua lupa kata sandi akun ovo yng blm di apgred ke premium email otomatis terhubung, padahal bukan email kita, sementara gua lupa password di suruh verifikasi email, gimana mau dpt verifikasi nya sementara itu email bukan email gua saldo gua ad 1jt an lenyap 😡😡😡😡😡😡",otak aplikasi terlalu ribet lupa kata sandi akun apgred premium email otomatis hubung bukan email lupa password suruh verifikasi email verifikasi email bukan email saldo juta an lenyap,0,2,2,2
"Ovo kenapa ini, ko dibuat registrasi aja Ndak bisa? Nulis nama aja Ndak bisa.",buat registrasi tulis nama,0,2,2,0
Disaat mau ganti hp malah susah masuk,ganti handphone susah masuk,0,0,2,0
APK LAMA DIBUKA,lama buka,0,2,0,0
sangat puas,puas,0,1,0,0
"apk tolol,kirim uang kagak di proses²",tololkirim uang proses,2,2,0,0
Aplikasi paling busuk lebih bagus pake DANA,aplikasi busuk lebih bagus pakai dana,0,2,0,0
Nomor ga bisa masuk,nomor masuk,0,0,2,0
ok lanjutkan,oke lanjut,0,1,0,0
Sangat membantu,bantu,0,1,0,0
"Nyesel banget deh nyoba transfer dari ovo ke bank lain,sampe sekarang belum selesai,dari kemarin sampe sekarang belum ada tuh transferan masuk,udah gitu tunggu 2hari kerja udah gitu hari libur gak diproses,hello terus kalo besok libur,saya harus nunggu lagi gitu sabtu minggu,senin baru di proses,gak rekomen banget deh apk ini buat transfer,bermasalah banget,gak kebayang kalo urgent kek gimana,tolong deh cepat di selesaikan,meskipun gak sebera seengganya proses dengan cepat,kaya apk lain dong",sesal deh coba transfer bank lainsampe sekarang selesaidari kemarin sekarang transfer masukudah tunggu hari kerja hari libur diproseshello besok libursaya tunggu sabtu minggusenin baru prosesgak rekomen deh buat transferbermasalah bangetgak bayang urgent gimanatolong deh cepat selesaikanmeskipun bera seengganya proses cepatkaya,2,2,0,0
Walet paling jelek itu ovo masa sih buat transper di batesi kalah sama walet dana aku bilang aplikasi pling jelek kwalitas nya,walet jelek buat transper batesi kalah walet dana bilang aplikasi jelek kualitas,2,2,0,0
Terlalu lama verifikasi. Padahal uang dari customerr !!!!!,terlalu lama verifikasi uang customerr,0,2,2,0
Sangat cepat sekali,cepat sekali,0,1,0,0
Sekarang Ovo sering gangguan ga jelas jelek,sekarang sering ganggu jelas jelek,0,2,0,0
Kembalikan duit gua oi😡😡😡🤬,kembali duit oi,0,0,0,2
update mulu tai,baru mulu tai,0,2,0,0
Bagus Apk nya berguna,bagus guna,0,1,0,0
sangat gampang dan sangat memuaskan....thanks ovo makin sukses terus ya,gampang memuaskanthanks makin sukses,0,1,0,0
Knp loding Mulu ga bisa masuk padahal mau neripa transferan ga bisa masukkk buruannn,loding mulu masuk neripa transfer masukkk buru,0,2,0,0
Saldo saya ilang 1 JT awalnya apk eror GK bisa di buka pas setelah itu bisa di buka tiba tiba saldonya terkuras abis lihat transaksi ada pengiriman ke atas nama Ipul mahendra,saldo hilang juta awal eror buka buka tiba tiba saldo kuras habis lihat transaksi kirim atas nama ipul mahendra,2,2,0,2
"😭❗kecewa banget ❗ udah pake ovo dari dulu sekarang malah bikin kecewa,mau transfer ke bank malah dalam proses terus, mana saldo udah berkurang dan tapi saldo yang di transfer belum masuk² ke bank.malah 2x kaya gitu terus dicoba lagi, terakhir 1 x lagi dicoba eh bisa, terus itu yang sedang dalam proses 2x masih tidak ada perkembangan masih dalam proses terus udah 1 hari,udah kirim laporan nunggu nya lama banget harus nunggu sebulan kali ya atau lebih baru di kembalikan mana butuh banget uangnya",kecewa pakai dulu sekarang bikin kecewamau transfer bank proses saldo kurang saldo transfer masuk bankmalah coba akhir coba eh sedang proses kembang proses hariudah kirim lapor tunggu lama tunggu bulan lebih baru kembali butuh uang,2,2,0,2
Memudahkan saya dalam bertransaksi juga sangat membantu untuk bayar biaya bulanan,mudah transaksi bantu bayar biaya bulan,1,1,0,0
Mau hapus akun ovo premier di bikin ribet lewat pusat bantuan aplikasi ga pernah bsa😡😤,hapus akun premier bikin ribet lewat pusat bantu aplikasi pernah,0,2,2,0
Bagus untuk saat ini,bagus,0,1,0,0
"WOI OVO BALIKIN UANG YANG AKU TRANSFER KE REKENING BSI KU!! UDAH LEBIH 1 X 24 JAM GAK MASUK JUGA TAPI SALDO UDAH KEPOTONG,UDAH KIRIM LAPORAN TAPI RESPON LELET, BALIKIN DUIT GUA!!!!!!",woi kembali uang transfer rekening bsi ku lebih jam masuk saldo kepotongudah kirim lapor respon lelet kembali duit,2,2,0,2
Sangat puas,puas,0,1,0,0
Jellek bngt susah akses Apaan dah🥲,jellek susah akses apa,0,2,0,0
"Bintang 1 karena telfon call center ovo belum tersambung ke customer servicenya udah di matiin telfonnya mana udah habis pulsa 25 ribu malah di matiin terus telfonnya ,susah banget mau lakukan proses penutupan akun lama",bintang telfon call center sambung customer servicenya mati telfonnya habis pulsa ribu mati telfonnya susah laku proses tutup akun lama,0,2,2,0
Apikasi goblog tolol,apikasi goblok tolol,0,2,0,0
"Sering eror, padahal data lancar",sering eror data lancar,0,2,0,0
Oke ajah,oke,0,1,0,0
Apk ga jelas.. ga bisa dftar kntl,jelas dftar kontol,0,2,2,0
"kesel banget mau upgrade ke ovo premier gagal terus, katanya nik nya sudah terdaftar. itu gimana coba keamanan nya masa nik bisa terdaftar dengan yg lain padahal ga pernah daftar di yang lain. mau coba minta bantuan ini itu dari dulu ga pernah berhasil. kan ada KTP ada foto masa nik bisa terdaftar di akun lain. ga jelas",kesal tingkat premier gagal kata nik daftar coba aman nik daftar pernah daftar coba minta bantu dulu pernah hasil kartu tanda duduk foto nik daftar akun jelas,0,2,2,0
"Apaa apaan ,bisa bisa saya transfer uang, Ngebug sebanyak 3 x status sedang di proses,mana harus di suruh nunggu 3 hari ,udh gitu di itung nya kalo hari kerja doang , bagus an e-walet yg lain . nyesel bener make OVO",apa transfer uang ngebug banyak status sedang prosesmana suruh tunggu hari hitung hari kerja doang bagus an ewalet sesal benar make,2,2,0,0
"Layanan kurang bagus, sudah transfer uang status masih proses selama 2 hari, stlah 2 hari d cek status berhasil tapi uang belum masuk ke rekening tujuan, di tlp ke cc suruh nunggu 3 hari kerja, layanan macam apa ini",layan kurang bagus transfer uang status proses lama hari hari cek status hasil uang masuk rekening tuju telepon cc suruh tunggu hari kerja layan macam,2,2,0,0
Sangat puas,puas,0,1,0,0
Mntap cepat .,mntap cepat,0,1,0,0
"Transaksi proses trus, emang krj nya pada ngapain aja.. Saldo ketahan Kalo di gunakan utk yg lain, bisa lbh bermanfaat",transaksi proses kerja saldo tahan guna lebih manfaat,2,2,0,2
Pengiriman cepat,kirim cepat,0,1,0,0
Mudah menggunakan nya,mudah guna,0,1,0,0
"saya suka sekali pelayanan dan transaksi di ovo cepat egak pakai lelet, banyak bonus dan cashback nya, terimakasih Ovo",suka sekali layan transaksi cepat pakai lelet banyak bonus cashback terima kasih,1,1,0,0
